date,report_name,report_agency,visits,language
2019-12-31 00:00:00,language,health-human-services,532,et-ee
2019-12-31 00:00:00,language,health-human-services,523,zh-hans-cn
2019-12-31 00:00:00,language,health-human-services,483,es-py
2019-12-31 00:00:00,language,health-human-services,454,fi
2019-12-31 00:00:00,language,health-human-services,440,ar-jo
2019-12-31 00:00:00,language,health-human-services,432,da
2019-12-31 00:00:00,language,health-human-services,432,hu
2019-12-31 00:00:00,language,health-human-services,422,hr
2019-12-31 00:00:00,language,health-human-services,417,sl
2019-12-31 00:00:00,language,health-human-services,403,sk
2019-12-31 00:00:00,language,health-human-services,397,en-hk
2019-12-31 00:00:00,language,health-human-services,359,bg
2019-12-31 00:00:00,language,health-human-services,352,lv-lv
2019-12-31 00:00:00,language,health-human-services,348,ar-iq
2019-12-31 00:00:00,language,health-human-services,347,es-ni
2019-12-31 00:00:00,language,health-human-services,343,en-de
2019-12-31 00:00:00,language,health-human-services,316,sr
2019-12-31 00:00:00,language,health-human-services,302,it-ch
2019-12-31 00:00:00,language,health-human-services,294,en-il
2019-12-31 00:00:00,language,health-human-services,289,ms-my
2019-12-31 00:00:00,language,health-human-services,272,fil
2019-12-31 00:00:00,language,health-human-services,258,es-pr
2019-12-31 00:00:00,language,health-human-services,253,en-ng
2019-12-31 00:00:00,language,health-human-services,246,ar-sd
2019-12-31 00:00:00,language,health-human-services,244,nb
2019-12-31 00:00:00,language,health-human-services,212,ar-ye
2019-12-31 00:00:00,language,health-human-services,212,uk
2019-12-31 00:00:00,language,health-human-services,209,mr-in
2019-12-31 00:00:00,language,health-human-services,202,en-id
2019-12-31 00:00:00,language,health-human-services,194,en-nl
2019-12-31 00:00:00,language,health-human-services,191,pt
2019-12-31 00:00:00,language,health-human-services,190,fr-dz
2019-12-31 00:00:00,language,health-human-services,178,en-ke
2019-12-31 00:00:00,language,health-human-services,176,es-la
2019-12-31 00:00:00,language,health-human-services,173,en-mx
2019-12-31 00:00:00,language,health-human-services,171,ar-ly
2019-12-31 00:00:00,language,health-human-services,148,en-be
2019-12-31 00:00:00,language,health-human-services,146,en-se
2019-12-31 00:00:00,language,health-human-services,146,fr-ma
2019-12-31 00:00:00,language,health-human-services,144,bn-bd
2019-12-31 00:00:00,language,health-human-services,143,en-sd
2019-12-31 00:00:00,language,health-human-services,137,en-zg
2019-12-31 00:00:00,language,health-human-services,137,gu-in
2019-12-31 00:00:00,language,health-human-services,135,en-eg
2019-12-31 00:00:00,language,health-human-services,131,en-ae
2019-12-31 00:00:00,language,health-human-services,127,en-sa
2019-12-31 00:00:00,language,health-human-services,122,ar-om
2019-12-31 00:00:00,language,health-human-services,120,ar-sy
2019-12-31 00:00:00,language,health-human-services,113,en-cn
2019-12-31 00:00:00,language,health-human-services,108,ru-ua
2019-12-31 00:00:00,language,health-human-services,107,bn
2019-12-31 00:00:00,language,health-human-services,105,es-cu
2019-12-31 00:00:00,language,health-human-services,102,gl-es
2019-12-31 00:00:00,language,health-human-services,101,ar-ma
2019-12-30 00:00:00,language,health-human-services,5668865,en-us
2019-12-30 00:00:00,language,health-human-services,746145,en-gb
2019-12-30 00:00:00,language,health-human-services,480700,es-es
2019-12-30 00:00:00,language,health-human-services,383484,zh-cn
2019-12-30 00:00:00,language,health-human-services,336600,es-419
2019-12-30 00:00:00,language,health-human-services,228487,es-us
2019-12-30 00:00:00,language,health-human-services,130766,en-ca
2019-12-30 00:00:00,language,health-human-services,107826,es
2019-12-30 00:00:00,language,health-human-services,101462,es-xl
2019-12-30 00:00:00,language,health-human-services,81850,en-au
2019-12-30 00:00:00,language,health-human-services,65886,fr-fr
2019-12-30 00:00:00,language,health-human-services,63611,es-mx
2019-12-30 00:00:00,language,health-human-services,61978,zh-tw
2019-12-30 00:00:00,language,health-human-services,54942,ko-kr
2019-12-30 00:00:00,language,health-human-services,53594,tr-tr
2019-12-30 00:00:00,language,health-human-services,53321,en-in
2019-12-30 00:00:00,language,health-human-services,52747,it-it
2019-12-30 00:00:00,language,health-human-services,45506,de-de
2019-12-30 00:00:00,language,health-human-services,35431,pt-br
2019-12-30 00:00:00,language,health-human-services,31373,nl-nl
2019-12-30 00:00:00,language,health-human-services,30778,en
2019-12-30 00:00:00,language,health-human-services,29801,ja-jp
2019-12-30 00:00:00,language,health-human-services,28057,ru-ru
2019-12-30 00:00:00,language,health-human-services,25646,es-ar
2019-12-30 00:00:00,language,health-human-services,20232,ar
2019-12-30 00:00:00,language,health-human-services,19203,ja
2019-12-30 00:00:00,language,health-human-services,18768,fr
2019-12-30 00:00:00,language,health-human-services,17784,pl-pl
2019-12-30 00:00:00,language,health-human-services,16726,de
2019-12-30 00:00:00,language,health-human-services,16062,sv-se
2019-12-30 00:00:00,language,health-human-services,14881,pt-pt
2019-12-30 00:00:00,language,health-human-services,13518,es-co
2019-12-30 00:00:00,language,health-human-services,12812,he-il
2019-12-30 00:00:00,language,health-human-services,12236,el-gr
2019-12-30 00:00:00,language,health-human-services,12119,en-ie
2019-12-30 00:00:00,language,health-human-services,11664,en-sg
2019-12-30 00:00:00,language,health-human-services,11012,vi-vn
2019-12-30 00:00:00,language,health-human-services,10949,es-cl
2019-12-30 00:00:00,language,health-human-services,10852,es-pe
2019-12-30 00:00:00,language,health-human-services,10020,da-dk
2019-12-30 00:00:00,language,health-human-services,9035,id-id
2019-12-30 00:00:00,language,health-human-services,7970,nb-no
2019-12-30 00:00:00,language,health-human-services,7677,en-za
2019-12-30 00:00:00,language,health-human-services,7091,ca-es
2019-12-30 00:00:00,language,health-human-services,7053,en-ph
2019-12-30 00:00:00,language,health-human-services,7028,fi-fi
2019-12-30 00:00:00,language,health-human-services,6325,pl
2019-12-30 00:00:00,language,health-human-services,6235,th-th
2019-12-30 00:00:00,language,health-human-services,5936,ru
2019-12-30 00:00:00,language,health-human-services,5854,fr-ca
2019-12-30 00:00:00,language,health-human-services,5500,hu-hu
2019-12-30 00:00:00,language,health-human-services,5326,cs-cz
2019-12-30 00:00:00,language,health-human-services,5226,de-ch
2019-12-30 00:00:00,language,health-human-services,5051,ar-eg
2019-12-30 00:00:00,language,health-human-services,4989,tr
2019-12-30 00:00:00,language,health-human-services,4963,nl-be
2019-12-30 00:00:00,language,health-human-services,4520,ro-ro
2019-12-30 00:00:00,language,health-human-services,4511,en-nz
2019-12-30 00:00:00,language,health-human-services,4423,ar-ae
2019-12-30 00:00:00,language,health-human-services,4275,id
2019-12-30 00:00:00,language,health-human-services,4050,c
2019-12-30 00:00:00,language,health-human-services,3939,it
2019-12-30 00:00:00,language,health-human-services,3623,de-at
2019-12-30 00:00:00,language,health-human-services,3609,nl
2019-12-30 00:00:00,language,health-human-services,3537,fa-ir
2019-12-30 00:00:00,language,health-human-services,3189,es-ec
2019-12-30 00:00:00,language,health-human-services,3098,hr-hr
2019-12-30 00:00:00,language,health-human-services,2932,ca
2019-12-30 00:00:00,language,health-human-services,2863,es-cr
2019-12-30 00:00:00,language,health-human-services,2829,sk-sk
2019-12-30 00:00:00,language,health-human-services,2437,fr-be
2019-12-30 00:00:00,language,health-human-services,2418,es-gt
2019-12-30 00:00:00,language,health-human-services,2399,zh-hk
2019-12-30 00:00:00,language,health-human-services,2243,zh
2019-12-30 00:00:00,language,health-human-services,2125,sl-si
2019-12-30 00:00:00,language,health-human-services,2077,vi
2019-12-30 00:00:00,language,health-human-services,2056,fr-ch
2019-12-30 00:00:00,language,health-human-services,1982,ko
2019-12-30 00:00:00,language,health-human-services,1977,fa
2019-12-30 00:00:00,language,health-human-services,1695,hi-in
2019-12-30 00:00:00,language,health-human-services,1675,bg-bg
2019-12-30 00:00:00,language,health-human-services,1646,en-my
2019-12-30 00:00:00,language,health-human-services,1643,es-pa
2019-12-30 00:00:00,language,health-human-services,1632,es-bo
2019-12-30 00:00:00,language,health-human-services,1539,en-pk
2019-12-30 00:00:00,language,health-human-services,1488,he
2019-12-30 00:00:00,language,health-human-services,1467,es-ve
2019-12-30 00:00:00,language,health-human-services,1361,el
2019-12-30 00:00:00,language,health-human-services,1344,es-sv
2019-12-30 00:00:00,language,health-human-services,1306,lt
2019-12-30 00:00:00,language,health-human-services,1272,uk-ua
2019-12-30 00:00:00,language,health-human-services,1208,ar-sa
2019-12-30 00:00:00,language,health-human-services,1180,sr-rs
2019-12-30 00:00:00,language,health-human-services,1154,hi
2019-12-30 00:00:00,language,health-human-services,1080,ro
2019-12-30 00:00:00,language,health-human-services,1070,cs
2019-12-30 00:00:00,language,health-human-services,1042,th
2019-12-30 00:00:00,language,health-human-services,992,es-hn
2019-12-30 00:00:00,language,health-human-services,977,es-uy
2019-12-30 00:00:00,language,health-human-services,970,es-do
2019-12-30 00:00:00,language,health-human-services,946,et-ee
2019-12-30 00:00:00,language,health-human-services,845,da
2019-12-30 00:00:00,language,health-human-services,794,sv
2019-12-30 00:00:00,language,health-human-services,732,lt-lt
2019-12-30 00:00:00,language,health-human-services,712,lv-lv
2019-12-30 00:00:00,language,health-human-services,683,es-py
2019-12-30 00:00:00,language,health-human-services,681,sl
2019-12-30 00:00:00,language,health-human-services,650,zh-hans-cn
2019-12-30 00:00:00,language,health-human-services,638,sk
2019-12-30 00:00:00,language,health-human-services,629,hr
2019-12-30 00:00:00,language,health-human-services,618,hu
2019-12-30 00:00:00,language,health-human-services,612,bg
2019-12-30 00:00:00,language,health-human-services,566,en-hk
2019-12-30 00:00:00,language,health-human-services,542,ar-iq
2019-12-30 00:00:00,language,health-human-services,531,ar-jo
2019-12-30 00:00:00,language,health-human-services,508,fi
2019-12-30 00:00:00,language,health-human-services,502,es-ni
2019-12-30 00:00:00,language,health-human-services,494,en-de
2019-12-30 00:00:00,language,health-human-services,475,sr
2019-12-30 00:00:00,language,health-human-services,403,es-pr
2019-12-30 00:00:00,language,health-human-services,400,nb
2019-12-30 00:00:00,language,health-human-services,399,it-ch
2019-12-30 00:00:00,language,health-human-services,358,ms-my
2019-12-30 00:00:00,language,health-human-services,332,ar-sd
2019-12-30 00:00:00,language,health-human-services,331,en-id
2019-12-30 00:00:00,language,health-human-services,325,en-nl
2019-12-30 00:00:00,language,health-human-services,306,pt
2019-12-30 00:00:00,language,health-human-services,303,en-il
2019-12-30 00:00:00,language,health-human-services,294,fil
2019-12-30 00:00:00,language,health-human-services,269,en-ng
2019-12-30 00:00:00,language,health-human-services,264,uk
2019-12-30 00:00:00,language,health-human-services,258,ar-ye
2019-12-30 00:00:00,language,health-human-services,257,es-la
2019-12-30 00:00:00,language,health-human-services,220,en-se
2019-12-30 00:00:00,language,health-human-services,213,en-ke
2019-12-30 00:00:00,language,health-human-services,211,is-is
2019-12-30 00:00:00,language,health-human-services,209,mr-in
2019-12-30 00:00:00,language,health-human-services,206,en-be
2019-12-30 00:00:00,language,health-human-services,203,fr-dz
2019-12-30 00:00:00,language,health-human-services,201,fr-ma
2019-12-30 00:00:00,language,health-human-services,196,en-ae
2019-12-30 00:00:00,language,health-human-services,195,ru-ua
2019-12-30 00:00:00,language,health-human-services,194,en-sd
2019-12-30 00:00:00,language,health-human-services,188,ar-ly
2019-12-30 00:00:00,language,health-human-services,179,en-mx
2019-12-30 00:00:00,language,health-human-services,174,ar-sy
2019-12-30 00:00:00,language,health-human-services,165,en-zg
2019-12-30 00:00:00,language,health-human-services,156,en-eg
2019-12-30 00:00:00,language,health-human-services,150,mk-mk
2019-12-30 00:00:00,language,health-human-services,148,lv
2019-12-30 00:00:00,language,health-human-services,146,fr-tn
2019-12-30 00:00:00,language,health-human-services,145,en-sa
2019-12-30 00:00:00,language,health-human-services,143,es-cu
2019-12-30 00:00:00,language,health-human-services,141,ar-om
2019-12-30 00:00:00,language,health-human-services,140,en-zw
2019-12-30 00:00:00,language,health-human-services,139,en-cn
2019-12-30 00:00:00,language,health-human-services,130,en-fi
2019-12-30 00:00:00,language,health-human-services,130,km-kh
2019-12-30 00:00:00,language,health-human-services,127,en-tt
2019-12-30 00:00:00,language,health-human-services,124,gl-es
2019-12-30 00:00:00,language,health-human-services,124,gu-in
2019-12-30 00:00:00,language,health-human-services,118,ta-in
2019-12-30 00:00:00,language,health-human-services,116,az-az
2019-12-30 00:00:00,language,health-human-services,116,en-jm
2019-12-30 00:00:00,language,health-human-services,115,en-ch
2019-12-30 00:00:00,language,health-human-services,112,eu
2019-12-30 00:00:00,language,health-human-services,110,en-as
2019-12-30 00:00:00,language,health-human-services,109,en-pr
2019-12-30 00:00:00,language,health-human-services,109,gl
2019-12-30 00:00:00,language,health-human-services,105,bn
2019-12-30 00:00:00,language,health-human-services,103,et
2019-12-30 00:00:00,language,health-human-services,102,bn-in
2019-12-29 00:00:00,language,health-human-services,3974641,en-us
2019-12-29 00:00:00,language,health-human-services,653668,en-gb
2019-12-29 00:00:00,language,health-human-services,394349,es-es
2019-12-29 00:00:00,language,health-human-services,318604,zh-cn
2019-12-29 00:00:00,language,health-human-services,297785,es-419
2019-12-29 00:00:00,language,health-human-services,209402,es-us
2019-12-29 00:00:00,language,health-human-services,122090,en-ca
2019-12-29 00:00:00,language,health-human-services,98558,es
2019-12-29 00:00:00,language,health-human-services,93005,es-xl
2019-12-29 00:00:00,language,health-human-services,82333,en-au
2019-12-29 00:00:00,language,health-human-services,55319,es-mx
2019-12-29 00:00:00,language,health-human-services,51217,zh-tw
2019-12-29 00:00:00,language,health-human-services,48764,fr-fr
2019-12-29 00:00:00,language,health-human-services,44614,tr-tr
2019-12-29 00:00:00,language,health-human-services,43654,en-in
2019-12-29 00:00:00,language,health-human-services,41798,it-it
2019-12-29 00:00:00,language,health-human-services,40792,ko-kr
2019-12-29 00:00:00,language,health-human-services,39126,de-de
2019-12-29 00:00:00,language,health-human-services,30048,ja-jp
2019-12-29 00:00:00,language,health-human-services,27369,pt-br
2019-12-29 00:00:00,language,health-human-services,25607,en
2019-12-29 00:00:00,language,health-human-services,25465,ru-ru
2019-12-29 00:00:00,language,health-human-services,22534,nl-nl
2019-12-29 00:00:00,language,health-human-services,21886,es-ar
2019-12-29 00:00:00,language,health-human-services,20754,ar
2019-12-29 00:00:00,language,health-human-services,18873,ja
2019-12-29 00:00:00,language,health-human-services,15571,pl-pl
2019-12-29 00:00:00,language,health-human-services,13872,sv-se
2019-12-29 00:00:00,language,health-human-services,12978,de
2019-12-29 00:00:00,language,health-human-services,12870,fr
2019-12-29 00:00:00,language,health-human-services,12313,es-co
2019-12-29 00:00:00,language,health-human-services,12072,he-il
2019-12-29 00:00:00,language,health-human-services,11801,pt-pt
2019-12-29 00:00:00,language,health-human-services,10951,el-gr
2019-12-29 00:00:00,language,health-human-services,10679,en-sg
2019-12-29 00:00:00,language,health-human-services,10591,en-ie
2019-12-29 00:00:00,language,health-human-services,10140,es-pe
2019-12-29 00:00:00,language,health-human-services,9462,vi-vn
2019-12-29 00:00:00,language,health-human-services,9264,es-cl
2019-12-29 00:00:00,language,health-human-services,8862,id-id
2019-12-29 00:00:00,language,health-human-services,8268,da-dk
2019-12-29 00:00:00,language,health-human-services,7130,en-ph
2019-12-29 00:00:00,language,health-human-services,6884,en-za
2019-12-29 00:00:00,language,health-human-services,6158,nb-no
2019-12-29 00:00:00,language,health-human-services,6013,th-th
2019-12-29 00:00:00,language,health-human-services,5901,ca-es
2019-12-29 00:00:00,language,health-human-services,5579,ru
2019-12-29 00:00:00,language,health-human-services,5372,hu-hu
2019-12-29 00:00:00,language,health-human-services,4901,fr-ca
2019-12-29 00:00:00,language,health-human-services,4895,fi-fi
2019-12-29 00:00:00,language,health-human-services,4866,ar-eg
2019-12-29 00:00:00,language,health-human-services,4843,tr
2019-12-29 00:00:00,language,health-human-services,4742,ro-ro
2019-12-29 00:00:00,language,health-human-services,4641,en-nz
2019-12-29 00:00:00,language,health-human-services,4508,cs-cz
2019-12-29 00:00:00,language,health-human-services,4482,ar-ae
2019-12-29 00:00:00,language,health-human-services,4207,pl
2019-12-29 00:00:00,language,health-human-services,4091,nl-be
2019-12-29 00:00:00,language,health-human-services,4034,id
2019-12-29 00:00:00,language,health-human-services,3604,it
2019-12-29 00:00:00,language,health-human-services,3480,fa-ir
2019-12-29 00:00:00,language,health-human-services,3470,de-ch
2019-12-29 00:00:00,language,health-human-services,3374,c
2019-12-29 00:00:00,language,health-human-services,3157,de-at
2019-12-29 00:00:00,language,health-human-services,2915,es-ec
2019-12-29 00:00:00,language,health-human-services,2794,hr-hr
2019-12-29 00:00:00,language,health-human-services,2783,nl
2019-12-29 00:00:00,language,health-human-services,2639,sk-sk
2019-12-29 00:00:00,language,health-human-services,2458,es-cr
2019-12-29 00:00:00,language,health-human-services,2360,ca
2019-12-29 00:00:00,language,health-human-services,2084,es-gt
2019-12-29 00:00:00,language,health-human-services,2010,fa
2019-12-29 00:00:00,language,health-human-services,1864,fr-be
2019-12-29 00:00:00,language,health-human-services,1848,zh
2019-12-29 00:00:00,language,health-human-services,1843,zh-hk
2019-12-29 00:00:00,language,health-human-services,1803,vi
2019-12-29 00:00:00,language,health-human-services,1782,sl-si
2019-12-29 00:00:00,language,health-human-services,1718,hi-in
2019-12-29 00:00:00,language,health-human-services,1616,bg-bg
2019-12-29 00:00:00,language,health-human-services,1611,ko
2019-12-29 00:00:00,language,health-human-services,1513,fr-ch
2019-12-29 00:00:00,language,health-human-services,1498,en-my
2019-12-29 00:00:00,language,health-human-services,1428,en-pk
2019-12-29 00:00:00,language,health-human-services,1408,es-ve
2019-12-29 00:00:00,language,health-human-services,1388,es-bo
2019-12-29 00:00:00,language,health-human-services,1380,es-pa
2019-12-29 00:00:00,language,health-human-services,1358,he
2019-12-29 00:00:00,language,health-human-services,1253,el
2019-12-29 00:00:00,language,health-human-services,1228,ar-sa
2019-12-29 00:00:00,language,health-human-services,1205,uk-ua
2019-12-29 00:00:00,language,health-human-services,1130,sr-rs
2019-12-29 00:00:00,language,health-human-services,1117,ro
2019-12-29 00:00:00,language,health-human-services,1100,hi
2019-12-29 00:00:00,language,health-human-services,1082,es-sv
2019-12-29 00:00:00,language,health-human-services,943,lt
2019-12-29 00:00:00,language,health-human-services,919,es-hn
2019-12-29 00:00:00,language,health-human-services,893,th
2019-12-29 00:00:00,language,health-human-services,879,cs
2019-12-29 00:00:00,language,health-human-services,785,es-uy
2019-12-29 00:00:00,language,health-human-services,780,es-do
2019-12-29 00:00:00,language,health-human-services,760,sv
2019-12-29 00:00:00,language,health-human-services,724,et-ee
2019-12-29 00:00:00,language,health-human-services,689,da
2019-12-29 00:00:00,language,health-human-services,625,lv-lv
2019-12-29 00:00:00,language,health-human-services,601,es-py
2019-12-29 00:00:00,language,health-human-services,596,lt-lt
2019-12-29 00:00:00,language,health-human-services,569,bg
2019-12-29 00:00:00,language,health-human-services,569,hr
2019-12-29 00:00:00,language,health-human-services,565,zh-hans-cn
2019-12-29 00:00:00,language,health-human-services,561,ar-jo
2019-12-29 00:00:00,language,health-human-services,542,hu
2019-12-29 00:00:00,language,health-human-services,541,en-de
2019-12-29 00:00:00,language,health-human-services,521,sl
2019-12-29 00:00:00,language,health-human-services,515,en-hk
2019-12-29 00:00:00,language,health-human-services,514,sk
2019-12-29 00:00:00,language,health-human-services,486,es-ni
2019-12-29 00:00:00,language,health-human-services,485,ar-iq
2019-12-29 00:00:00,language,health-human-services,436,fi
2019-12-29 00:00:00,language,health-human-services,395,ms-my
2019-12-29 00:00:00,language,health-human-services,386,sr
2019-12-29 00:00:00,language,health-human-services,364,en-id
2019-12-29 00:00:00,language,health-human-services,352,nb
2019-12-29 00:00:00,language,health-human-services,346,ar-sd
2019-12-29 00:00:00,language,health-human-services,334,it-ch
2019-12-29 00:00:00,language,health-human-services,316,en-il
2019-12-29 00:00:00,language,health-human-services,306,fil
2019-12-29 00:00:00,language,health-human-services,287,es-pr
2019-12-29 00:00:00,language,health-human-services,267,pt
2019-12-29 00:00:00,language,health-human-services,262,uk
2019-12-29 00:00:00,language,health-human-services,254,en-nl
2019-12-29 00:00:00,language,health-human-services,250,es-la
2019-12-29 00:00:00,language,health-human-services,233,mr-in
2019-12-29 00:00:00,language,health-human-services,228,ar-ye
2019-12-29 00:00:00,language,health-human-services,222,en-ng
2019-12-29 00:00:00,language,health-human-services,214,ar-sy
2019-12-29 00:00:00,language,health-human-services,202,en-ae
2019-12-29 00:00:00,language,health-human-services,196,fr-dz
2019-12-29 00:00:00,language,health-human-services,186,ar-ly
2019-12-29 00:00:00,language,health-human-services,184,en-be
2019-12-29 00:00:00,language,health-human-services,176,en-se
2019-12-29 00:00:00,language,health-human-services,175,en-sd
2019-12-29 00:00:00,language,health-human-services,171,en-ke
2019-12-29 00:00:00,language,health-human-services,171,en-zg
2019-12-29 00:00:00,language,health-human-services,169,ru-ua
2019-12-29 00:00:00,language,health-human-services,163,en-mx
2019-12-29 00:00:00,language,health-human-services,155,gu-in
2019-12-29 00:00:00,language,health-human-services,145,es-cu
2019-12-29 00:00:00,language,health-human-services,142,en-sa
2019-12-29 00:00:00,language,health-human-services,138,ar-om
2019-12-29 00:00:00,language,health-human-services,132,fr-ma
2019-12-29 00:00:00,language,health-human-services,128,en-cn
2019-12-29 00:00:00,language,health-human-services,126,is-is
2019-12-29 00:00:00,language,health-human-services,124,ar-il
2019-12-29 00:00:00,language,health-human-services,122,fr-tn
2019-12-29 00:00:00,language,health-human-services,122,ta-in
2019-12-29 00:00:00,language,health-human-services,121,en-eg
2019-12-29 00:00:00,language,health-human-services,121,lv
2019-12-29 00:00:00,language,health-human-services,119,km-kh
2019-12-29 00:00:00,language,health-human-services,118,az-az
2019-12-29 00:00:00,language,health-human-services,118,bn-in
2019-12-29 00:00:00,language,health-human-services,110,gl-es
2019-12-29 00:00:00,language,health-human-services,103,en-as
2019-12-29 00:00:00,language,health-human-services,102,bn
2019-12-28 00:00:00,language,health-human-services,3795864,en-us
2019-12-28 00:00:00,language,health-human-services,628271,en-gb
2019-12-28 00:00:00,language,health-human-services,395738,es-es
2019-12-28 00:00:00,language,health-human-services,306706,es-419
2019-12-28 00:00:00,language,health-human-services,228556,zh-cn
